GLOBALEVENTID,SQLDATE,MONTHYEAR,YEAR,FractionDate,Actor1Name,Actor1CountryCode,Actor1Type1Code,Actor2CountryCode,Actor2Type1Code,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,ActionGeo_CountryCode,ActionGeo_FullName,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,IsRootEvent,SOURCEURL
114229264,20250427,202504,2025,2025.3205479452056,BENIN POLICE,GB,NGO,TG,GOV,05,10,01,2,-3.4,43,5,9,-2.49,BC,"Bohicon, Zou, Benin",BC11,7.1215,2.102,1,https://www.reuters.com/world/africa/benin/8669
670318585,20250427,202504,2025,2025.3205479452056,BENIN ARMY,SN,GOV,GB,NGO,07,02,14,1,-2.9,34,7,26,0.78,BC,"Porto-Novo, Oueme, Benin",BC09,6.5309,2.6386,1,https://www.matin-libre.bj/2760
230809103,20250427,202504,2025,2025.3205479452056,BENIN POLICE,FR,REB,BC,CVL,06,13,06,1,-6.9,1,1,21,-5.85,BC,"Kandi, Alibori, Benin",BC01,11.1695,2.9343,1,https://www.bbc.com/afrique/region/5793
947787373,20250427,202504,2025,2025.3205479452056,US EMBASSY,FR,GOV,ML,CVL,06,01,13,1,-1.3,44,5,4,-2.25,BC,"Abomey-Calavi, Atlantique, Benin",BC03,6.4348,2.4081,1,https://www.matin-libre.bj/1156
132982275,20250427,202504,2025,2025.3205479452056,PATRICE TALON,ZA,GOV,US,MIL,06,03,11,2,-2.1,52,13,15,-5.74,BC,"Cotonou, Littoral, Benin",BC12,6.3806,2.4195,1,https://www.fraternite.bj/4118
535524742,20250427,202504,2025,2025.3205479452056,ECOWAS,NG,GOV,BC,GOV,03,03,20,4,5.2,54,2,21,5.46,BC,"Djougou, Donga, Benin",BC04,9.7025,1.6932,1,https://www.reuters.com/world/africa/benin/7759
875543199,20250427,202504,2025,2025.3205479452056,PATRICE TALON,CN,GOV,CA,NGO,14,14,03,3,0.4,47,12,20,-2.75,BC,"Natitingou, Atacora, Benin",BC02,10.3103,1.4397,1,https://www.matin-libre.bj/5136
108506172,20250427,202504,2025,2025.3205479452056,BENIN GOVERNMENT,FR,GOV,NE,MED,03,04,02,4,-3.0,42,13,22,-2.22,BC,"Bohicon, Zou, Benin",BC11,7.1436,2.0911,1,https://www.matin-libre.bj/3748
668114257,20250427,202504,2025,2025.3205479452056,UNITED NATIONS,US,MED,BC,BUS,04,06,04,1,-7.0,1,2,27,-4.84,BC,"Cotonou, Littoral, Benin",BC12,6.3837,2.3891,1,https://www.matin-libre.bj/1301
804281773,20250427,202504,2025,2025.3205479452056,UNITED NATIONS,FR,BUS,CI,NGO,14,13,05,1,-9.2,3,3,36,-5.89,BC,"Porto-Novo, Oueme, Benin",BC09,6.4478,2.5908,1,https://www.fraternite.bj/4357
362905346,20250427,202504,2025,2025.3205479452056,BENIN OPPOSITION,TG,CVL,GH,MIL,01,10,04,3,-4.8,27,4,38,-2.32,BC,"Cotonou, Littoral, Benin",BC12,6.3101,2.4101,0,https://www.lemonde.fr/afrique/benin/8717
395138631,20250427,202504,2025,2025.3205479452056,BENIN POLICE,US,MIL,ML,GOV,05,04,04,1,-5.9,10,9,35,-3.28,BC,"Ouidah, Atlantique, Benin",BC03,6.3493,2.1053,1,https://www.fraternite.bj/3502
290843690,20250427,202504,2025,2025.3205479452056,FRANCE EMBASSY,DE,NGO,DE,MIL,02,04,06,4,0.0,40,12,16,-5.25,BC,"Abomey-Calavi, Atlantique, Benin",BC03,6.4427,2.3693,1,https://www.reuters.com/world/africa/benin/3746
396224708,20250427,202504,2025,2025.3205479452056,BENIN POLICE,TG,OPP,NG,CVL,11,14,02,3,-1.7,29,7,38,-5.44,BC,"Bohicon, Zou, Benin",BC11,7.1862,2.1322,1,https://www.lemonde.fr/afrique/benin/2330
482745145,20250427,202504,2025,2025.3205479452056,BENIN GOVERNMENT,FR,MED,CA,CVL,04,10,06,2,-1.1,37,2,7,-6.53,BC,"Porto-Novo, Oueme, Benin",BC09,6.4775,2.6411,1,https://www.voaafrique.com/benin/1871
849696112,20250427,202504,2025,2025.3205479452056,BENIN ARMY,US,GOV,TG,MIL,14,01,04,2,-4.5,49,12,32,-9.44,BC,"Cotonou, Littoral, Benin",BC12,6.4216,2.4092,1,https://www.fraternite.bj/2125
463555448,20250427,202504,2025,2025.3205479452056,PATRICE TALON,GB,GOV,BC,OPP,03,10,04,2,-1.8,28,14,23,1.67,BC,"Parakou, Borgou, Benin",BC06,9.3418,2.594,1,https://www.lemonde.fr/afrique/benin/1743
555658100,20250427,202504,2025,2025.3205479452056,BENIN POLICE,DE,MIL,BC,CVL,17,02,07,1,-6.2,43,5,28,-9.39,BC,"Cotonou, Littoral, Benin",BC12,6.372,2.4544,1,https://www.reuters.com/world/africa/benin/5263
514668835,20250427,202504,2025,2025.3205479452056,BENIN POLICE,DE,NGO,DE,GOV,04,11,13,1,-3.9,28,10,6,-7.98,BC,"Kandi, Alibori, Benin",BC01,11.1399,2.9368,1,https://www.bbc.com/afrique/region/9373
278196624,20250427,202504,2025,2025.3205479452056,BENIN GOVERNMENT,GB,CVL,BC,MED,20,05,12,2,1.7,34,1,20,-0.3,BC,"Abomey-Calavi, Atlantique, Benin",BC03,6.4791,2.3108,1,https://apnews.com/hub/benin9005
622235359,20250427,202504,2025,2025.3205479452056,BENIN ARMY,CI,MIL,BE,GOV,02,07,11,2,-3.1,24,10,32,-6.21,BC,"Natitingou, Atacora, Benin",BC02,10.3203,1.3817,0,https://www.bbc.com/afrique/region/2154
286778869,20250427,202504,2025,2025.3205479452056,ECOWAS,BF,GOV,BR,MED,05,06,07,2,0.4,53,10,24,5.57,BC,"Cotonou, Littoral, Benin",BC12,6.3783,2.3891,1,https://www.rfi.fr/fr/afrique/benin/8432
168057479,20250427,202504,2025,2025.3205479452056,BENIN ARMY,NG,OPP,BC,GOV,06,03,07,1,-8.1,35,5,38,-8.82,BC,"Djougou, Donga, Benin",BC04,9.7311,1.6522,0,https://apnews.com/hub/benin3591
303103748,20250427,202504,2025,2025.3205479452056,BENIN GOVERNMENT,FR,OPP,CA,CVL,11,14,02,4,-8.4,44,1,20,-6.88,BC,"Ouidah, Atlantique, Benin",BC03,6.2983,2.0842,1,https://apnews.com/hub/benin2388
919396974,20250427,202504,2025,2025.3205479452056,CHINA EMBASSY,FR,GOV,RU,BUS,01,18,11,1,-0.1,52,1,30,-3.89,BC,"Bohicon, Zou, Benin",BC11,7.1244,2.0388,0,https://www.bbc.com/afrique/region/6102
947527018,20250427,202504,2025,2025.3205479452056,FRANCE EMBASSY,US,NGO,RU,GOV,10,07,02,1,2.5,12,2,7,-4.51,BC,"Cotonou, Littoral, Benin",BC12,6.3627,2.4044,0,https://www.24haubenin.info/8650
149538144,20250427,202504,2025,2025.3205479452056,BENIN GOVERNMENT,FR,NGO,BC,CVL,03,02,03,3,-2.0,11,10,20,-5.31,BC,"Porto-Novo, Oueme, Benin",BC09,6.4911,2.6057,1,https://apnews.com/hub/benin8985
339933975,20250427,202504,2025,2025.3205479452056,BENIN ARMY,CM,OPP,ZA,GOV,03,03,14,1,6.3,19,13,36,1.39,BC,"Cotonou, Littoral, Benin",BC12,6.3824,2.3975,0,https://www.rfi.fr/fr/afrique/benin/6916
823502508,20250428,202504,2025,2025.323287671233,BENIN GOVERNMENT,GB,GOV,BF,GOV,01,01,01,3,-6.3,4,4,20,-8.68,BC,"Cotonou, Littoral, Benin",BC12,6.3656,2.3888,0,https://www.reuters.com/world/africa/benin/8050
501727524,20250428,202504,2025,2025.323287671233,US EMBASSY,TG,OPP,ML,GOV,02,04,05,4,-3.6,54,3,10,-9.16,BC,"Abomey-Calavi, Atlantique, Benin",BC03,6.4665,2.3415,0,https://www.bbc.com/afrique/region/6031
290893887,20250428,202504,2025,2025.323287671233,UNITED NATIONS,BR,CVL,NE,MIL,06,12,02,2,-3.0,19,14,25,-3.47,BC,"Natitingou, Atacora, Benin",BC02,10.2656,1.3542,1,https://www.matin-libre.bj/6597
687731891,20250428,202504,2025,2025.323287671233,ECOWAS,NG,BUS,US,GOV,01,07,02,1,0.4,36,6,17,-2.17,BC,"Djougou, Donga, Benin",BC04,9.7087,1.6826,0,https://www.bbc.com/afrique/region/6848
680937236,20250428,202504,2025,2025.323287671233,PATRICE TALON,DE,GOV,NE,BUS,01,02,03,3,-3.2,48,7,10,-8.72,BC,"Cotonou, Littoral, Benin",BC12,6.3248,2.425,1,https://www.24haubenin.info/2626
446994330,20250428,202504,2025,2025.323287671233,PATRICE TALON,GH,NGO,NG,MED,14,01,11,1,-4.9,31,13,8,-5.11,BC,"Cotonou, Littoral, Benin",BC12,6.3766,2.4548,0,https://www.reuters.com/world/africa/benin/8806
793869649,20250428,202504,2025,2025.323287671233,BENIN CITIZENS,US,OPP,GH,GOV,01,03,01,1,1.0,19,11,8,1.56,BC,"Porto-Novo, Oueme, Benin",BC09,6.4407,2.6846,1,https://www.bbc.com/afrique/region/7349
441229623,20250428,202504,2025,2025.323287671233,BENIN ARMY,FR,GOV,CI,NGO,01,01,11,4,-0.7,9,5,6,1.51,BC,"Cotonou, Littoral, Benin",BC12,6.3754,2.4393,1,https://www.voaafrique.com/benin/7454
910402949,20250428,202504,2025,2025.323287671233,PATRICE TALON,FR,NGO,BC,NGO,05,10,05,2,-2.4,20,7,22,-10.69,BC,"Cotonou, Littoral, Benin",BC12,6.3209,2.4325,1,https://www.lemonde.fr/afrique/benin/4835
399182796,20250428,202504,2025,2025.323287671233,BENIN ARMY,DE,CVL,BF,MIL,02,17,02,1,0.5,26,7,19,-3.26,BC,"Porto-Novo, Oueme, Benin",BC09,6.4855,2.6502,1,https://www.lemonde.fr/afrique/benin/2335
209081820,20250428,202504,2025,2025.323287671233,ECOWAS,CA,GOV,MA,GOV,04,02,05,1,-1.7,27,11,33,-6.95,BC,"Cotonou, Littoral, Benin",BC12,6.3918,2.433,1,https://www.rfi.fr/fr/afrique/benin/2292
707977098,20250428,202504,2025,2025.323287671233,BENIN GOVERNMENT,US,CVL,CI,NGO,06,03,02,3,-1.7,21,5,8,-4.81,BC,"Abomey-Calavi, Atlantique, Benin",BC03,6.4558,2.3575,0,https://www.matin-libre.bj/5611
671253063,20250428,202504,2025,2025.323287671233,BENIN ARMY,GB,OPP,BC,MIL,02,06,13,3,-1.8,37,10,2,1.21,BC,"Porto-Novo, Oueme, Benin",BC09,6.4476,2.6271,1,https://www.fraternite.bj/7958
331871694,20250428,202504,2025,2025.323287671233,BENIN GOVERNMENT,FR,MIL,CM,GOV,01,01,11,1,-6.0,53,11,35,-8.46,BC,"Kandi, Alibori, Benin",BC01,11.1138,2.9063,1,https://www.24haubenin.info/8212
765820598,20250428,202504,2025,2025.323287671233,BENIN ARMY,TG,GOV,BR,MIL,02,10,03,2,-4.4,12,13,27,-6.47,BC,"Abomey-Calavi, Atlantique, Benin",BC03,6.404,2.3812,1,https://www.bbc.com/afrique/region/8497
766772819,20250428,202504,2025,2025.323287671233,US EMBASSY,FR,BUS,ML,CVL,01,05,01,4,-3.0,33,5,23,-6.42,BC,"Cotonou, Littoral, Benin",BC12,6.3142,2.4181,0,https://www.bbc.com/afrique/region/6620
790968582,20250428,202504,2025,2025.323287671233,BENIN ARMY,FR,BUS,ML,GOV,05,19,17,3,-2.3,4,14,11,1.53,BC,"Kandi, Alibori, Benin",BC01,11.1375,2.9805,0,https://www.matin-libre.bj/2368
932065472,20250428,202504,2025,2025.323287671233,FRANCE EMBASSY,BF,MED,RU,MIL,01,01,13,3,-7.7,52,11,28,-14.6,BC,"Bohicon, Zou, Benin",BC11,7.1948,2.0935,0,https://www.rfi.fr/fr/afrique/benin/4191
357768530,20250428,202504,2025,2025.323287671233,PATRICE TALON,US,CVL,ZA,GOV,04,01,04,2,2.1,12,2,12,-1.48,BC,"Porto-Novo, Oueme, Benin",BC09,6.5102,2.6092,1,https://www.bbc.com/afrique/region/6624
627536032,20250428,202504,2025,2025.323287671233,FRANCE EMBASSY,GB,GOV,BF,GOV,01,01,07,1,-1.1,29,14,31,-5.01,BC,"Cotonou, Littoral, Benin",BC12,6.3831,2.4564,0,https://www.rfi.fr/fr/afrique/benin/3533
841439615,20250428,202504,2025,2025.323287671233,BENIN POLICE,NG,CVL,NE,CVL,20,05,10,1,-4.9,55,8,12,-10.61,BC,"Abomey-Calavi, Atlantique, Benin",BC03,6.4486,2.2792,0,https://www.rfi.fr/fr/afrique/benin/1506
102923769,20250428,202504,2025,2025.323287671233,BENIN GOVERNMENT,FR,NGO,BE,CVL,12,06,03,3,4.5,8,12,23,5.37,BC,"Cotonou, Littoral, Benin",BC12,6.3568,2.4769,1,https://www.voaafrique.com/benin/7639
807392172,20250428,202504,2025,2025.323287671233,BENIN POLICE,CI,REB,NG,BUS,11,04,05,3,-1.1,56,10,14,-7.75,BC,"Cotonou, Littoral, Benin",BC12,6.3328,2.3788,1,https://www.bbc.com/afrique/region/7040
913085209,20250428,202504,2025,2025.323287671233,BENIN GOVERNMENT,NE,OPP,CM,OPP,10,06,01,3,-5.9,56,10,6,-7.58,BC,"Cotonou, Littoral, Benin",BC12,6.3518,2.4339,1,https://www.24haubenin.info/9049
934381452,20250428,202504,2025,2025.323287671233,FRANCE EMBASSY,GB,MIL,CI,OPP,17,12,12,3,4.3,37,1,34,1.7,BC,"Bohicon, Zou, Benin",BC11,7.1384,2.0788,1,https://www.lemonde.fr/afrique/benin/7024
835599137,20250428,202504,2025,2025.323287671233,FRANCE EMBASSY,US,OPP,BC,OPP,02,13,02,4,3.5,31,4,33,-0.92,BC,"Abomey-Calavi, Atlantique, Benin",BC03,6.4236,2.3897,1,https://www.rfi.fr/fr/afrique/benin/2259
622034984,20250428,202504,2025,2025.323287671233,BENIN GOVERNMENT,CN,CVL,RU,MIL,14,02,07,1,-4.4,31,14,6,-10.21,BC,"Abomey-Calavi, Atlantique, Benin",BC03,6.4517,2.3461,1,https://apnews.com/hub/benin5271
120294187,20250429,202504,2025,2025.3260273972603,BENIN ARMY,US,NGO,BR,MED,04,04,04,3,-2.3,40,13,37,-3.87,BC,"Bohicon, Zou, Benin",BC11,7.1745,2.0016,1,https://www.voaafrique.com/benin/1208
535015440,20250429,202504,2025,2025.3260273972603,PATRICE TALON,DE,MED,CI,GOV,01,01,04,1,-2.8,11,5,20,-6.03,BC,"Porto-Novo, Oueme, Benin",BC09,6.5889,2.6182,0,https://www.matin-libre.bj/8435
745199773,20250429,202504,2025,2025.3260273972603,PATRICE TALON,CN,GOV,CM,CVL,05,03,01,1,-10.0,15,13,9,-7.13,BC,"Parakou, Borgou, Benin",BC06,9.2966,2.6214,1,https://www.24haubenin.info/4599
777988617,20250429,202504,2025,2025.3260273972603,BENIN GOVERNMENT,CN,GOV,US,OPP,11,07,01,1,-0.1,37,14,14,-0.0,BC,"Cotonou, Littoral, Benin",BC12,6.3612,2.3575,0,https://www.voaafrique.com/benin/8799
441093535,20250429,202504,2025,2025.3260273972603,BENIN POLICE,GH,NGO,SN,BUS,10,05,11,1,1.8,15,2,13,5.74,BC,"Cotonou, Littoral, Benin",BC12,6.3223,2.4204,1,https://www.reuters.com/world/africa/benin/2734
431372820,20250429,202504,2025,2025.3260273972603,FRANCE EMBASSY,ZA,OPP,BF,GOV,04,01,14,2,1.1,34,9,5,-0.29,BC,"Abomey-Calavi, Atlantique, Benin",BC03,6.4374,2.3237,1,https://www.voaafrique.com/benin/1440
682249604,20250429,202504,2025,2025.3260273972603,CHINA EMBASSY,CM,GOV,CA,CVL,04,02,20,1,-1.1,52,11,15,-0.6,BC,"Porto-Novo, Oueme, Benin",BC09,6.4866,2.6475,0,https://www.reuters.com/world/africa/benin/6221
423008838,20250429,202504,2025,2025.3260273972603,BENIN ARMY,BF,GOV,BC,MIL,07,06,03,3,0.8,33,5,33,-1.95,BC,"Parakou, Borgou, Benin",BC06,9.3623,2.6206,1,https://www.rfi.fr/fr/afrique/benin/3486
625626433,20250429,202504,2025,2025.3260273972603,PATRICE TALON,NG,GOV,CM,GOV,03,02,01,1,-7.1,10,13,6,-2.02,BC,"Natitingou, Atacora, Benin",BC02,10.2895,1.4398,1,https://www.rfi.fr/fr/afrique/benin/1769
799387385,20250429,202504,2025,2025.3260273972603,ECOWAS,US,MIL,CA,MIL,12,10,03,4,5.2,33,8,34,2.66,BC,"Abomey-Calavi, Atlantique, Benin",BC03,6.4433,2.3483,1,https://www.fraternite.bj/7872
345712325,20250429,202504,2025,2025.3260273972603,BENIN GOVERNMENT,BR,GOV,CI,OPP,04,12,05,4,-6.0,26,10,4,-6.59,BC,"Parakou, Borgou, Benin",BC06,9.3241,2.6409,1,https://www.lemonde.fr/afrique/benin/7944
477798955,20250429,202504,2025,2025.3260273972603,BENIN POLICE,FR,MED,CN,CVL,02,03,19,4,-4.6,53,14,2,-3.55,BC,"Parakou, Borgou, Benin",BC06,9.295,2.6216,1,https://www.voaafrique.com/benin/3716
