GLOBALEVENTID,SQLDATE,MONTHYEAR,YEAR,EventRootCode,QuadClass,GoldsteinScale,AvgTone,Actor1CountryCode,Actor1Type1Code,ActionGeo_ADM1Code,NumMentions,NumArticles,sentiment_label,sentiment_binary,sentiment_enc,stability_label,event_polarity,geo_zone,month,media_intensity,tension_score,EventRootCode_enc,Actor1CountryCode_enc,Actor1Type1Code_enc,GoldsteinScale_scaled,AvgTone_scaled,NumMentions_scaled,cluster_id,cluster_name
1281664740,2025-12-31,202512,2025,04,1,2.8,-1.095890411,BEN,UNKNOWN,BN,10,10,neutre,1,1,stable,cooperation,sud_centre,12,0.6161,-0.8521,3,5,25,0.4878502887733861,0.0278805288003156,1.1649307575057584,0,Evenements neutres
1281664663,2025-12-31,202512,2025,04,1,1.9,-1.095890411,UNKNOWN,UNKNOWN,BN,10,10,neutre,1,1,stable,cooperation,sud_centre,12,0.6161,-0.4021,3,76,25,0.2920910337519948,0.0278805288003156,1.1649307575057584,0,Evenements neutres
1281698938,2025-12-31,202512,2025,19,4,-10.0,-9.768009768,BEN,UNKNOWN,BN,2,2,negatif,0,0,tres_instable,conflit,sud_centre,12,0.2823,9.884,18,5,25,-2.2962813381975122,-1.8500291291734139,-0.8103806064252487,1,Conflits et tensions
1281698939,2025-12-31,202512,2025,19,4,-10.0,-9.768009768,BEN,UNKNOWN,BN,8,8,negatif,0,0,tres_instable,conflit,sud_centre,12,0.5646,9.884,18,5,25,-2.2962813381975122,-1.8500291291734139,0.6711029165230065,1,Conflits et tensions
1281698940,2025-12-31,202512,2025,19,4,-10.0,-9.768009768,BEN,MIL,BN,2,2,negatif,0,0,tres_instable,conflit,sud_centre,12,0.2823,9.884,18,5,16,-2.2962813381975122,-1.8500291291734139,-0.8103806064252487,1,Conflits et tensions
1281699529,2025-12-31,202512,2025,19,4,-10.0,-9.768009768,UNKNOWN,MIL,BN,8,8,negatif,0,0,tres_instable,conflit,sud_centre,12,0.5646,9.884,18,76,16,-2.2962813381975122,-1.8500291291734139,0.6711029165230065,1,Conflits et tensions
1281686235,2025-12-31,202512,2025,02,1,3.0,-1.020408163,SEN,UNKNOWN,BN,10,10,neutre,1,1,stable,cooperation,sud_centre,12,0.6161,-0.9898,1,65,25,0.5313523454448064,0.044225880690606525,1.1649307575057584,0,Evenements neutres
1281679676,2025-12-31,202512,2025,08,2,5.0,-7.817969662,BEN,UNKNOWN,BN,2,2,negatif,0,0,tres_stable,cooperation,sud_centre,12,0.2823,1.409,7,5,25,0.9663729121590093,-1.42775644152439,-0.8103806064252487,0,Evenements neutres
1281679678,2025-12-31,202512,2025,11,3,-2.0,-7.817969662,BEN,UNKNOWN,BN,2,2,negatif,0,0,instable,cooperation,sud_centre,12,0.2823,4.909,10,5,25,-0.5561990713407007,-1.42775644152439,-0.8103806064252487,1,Conflits et tensions
1281679680,2025-12-31,202512,2025,06,2,6.0,-7.817969662,BEN,GOV,BN,2,2,negatif,0,0,tres_stable,cooperation,sud_centre,12,0.2823,0.909,5,5,7,1.1838831955161107,-1.42775644152439,-0.8103806064252487,0,Evenements neutres
1281680224,2025-12-31,202512,2025,11,3,-2.0,-7.817969662,MDG,UNKNOWN,BN,1,1,negatif,0,0,instable,cooperation,sud_centre,12,0.1781,4.909,10,47,25,-0.5561990713407007,-1.42775644152439,-1.0572945269166245,1,Conflits et tensions
1281667640,2025-12-31,202512,2025,07,2,7.4,-3.197057278,BEN,UNKNOWN,BN,20,20,negatif,0,0,tres_stable,cooperation,sud_centre,12,0.7823,-2.1015,6,5,25,1.4883975922160528,-0.4271180004079698,3.634069962419517,0,Evenements neutres
1281696726,2025-12-31,202512,2025,07,2,7.4,-2.564102564,BEN,UNKNOWN,BN,2,2,negatif,0,0,tres_stable,cooperation,sud_centre,12,0.2823,-2.4179,6,5,25,1.4883975922160528,-0.290054415193226,-0.8103806064252487,0,Evenements neutres
1281679679,2025-12-31,202512,2025,11,3,-2.0,-7.817969662,BEN,UNKNOWN,BN,2,2,negatif,0,0,instable,cooperation,sud_centre,12,0.2823,4.909,10,5,25,-0.5561990713407007,-1.42775644152439,-0.8103806064252487,1,Conflits et tensions
1299592500,2025-04-16,202504,2025,10,3,-5.0,-12.5,BEN,UNKNOWN,BN,6,6,negatif,0,0,tres_instable,cooperation,sud_centre,4,0.5,8.75,9,5,25,-1.2087299214120049,-2.4416297092578523,0.17727507554025476,1,Conflits et tensions
1299592501,2025-04-16,202504,2025,10,3,-5.0,-12.5,BEN,UNKNOWN,BN,4,4,negatif,0,0,tres_instable,cooperation,sud_centre,4,0.4135,8.75,9,5,25,-1.2087299214120049,-2.4416297092578523,-0.316552765442497,1,Conflits et tensions
1292755543,2025-03-06,202503,2025,06,2,6.0,-8.67768595,UNKNOWN,UNKNOWN,BN,10,10,negatif,0,0,tres_stable,cooperation,sud_centre,3,0.6161,1.3388,5,76,25,1.1838831955161107,-1.613924257474634,1.1649307575057584,0,Evenements neutres
