GLOBALEVENTID,SQLDATE,MONTHYEAR,YEAR,EventRootCode,QuadClass,GoldsteinScale,AvgTone,Actor1CountryCode,Actor1Type1Code,ActionGeo_ADM1Code,NumMentions,sentiment_label,stability_label,event_polarity,geo_zone,cluster_id,cluster_name,media_intensity,tension_score,sentiment_tb_score,sentiment_tb_label,rf_sentiment_pred,rf_sentiment_proba_neg,rf_sentiment_proba_neu,rf_sentiment_proba_pos
1281664740,2025-12-31,202512,2025,4,1,2.8,-1.095890411,BEN,UNKNOWN,BN,10,neutre,stable,cooperation,sud_centre,0,Evenements neutres,0.6161,-0.8521,-0.0699,neutre,neutre,0.0,1.0,0.0
1281664663,2025-12-31,202512,2025,4,1,1.9,-1.095890411,UNKNOWN,UNKNOWN,BN,10,neutre,stable,cooperation,sud_centre,0,Evenements neutres,0.6161,-0.4021,-0.1207,neutre,neutre,0.0,1.0,0.0
1281698938,2025-12-31,202512,2025,19,4,-10.0,-9.768009768,BEN,UNKNOWN,BN,2,negatif,tres_instable,conflit,sud_centre,1,Conflits et tensions,0.2823,9.884,-0.925,negatif,negatif,1.0,0.0,0.0
1281698939,2025-12-31,202512,2025,19,4,-10.0,-9.768009768,BEN,UNKNOWN,BN,8,negatif,tres_instable,conflit,sud_centre,1,Conflits et tensions,0.5646,9.884,-0.855,negatif,negatif,1.0,0.0,0.0
1281698940,2025-12-31,202512,2025,19,4,-10.0,-9.768009768,BEN,MIL,BN,2,negatif,tres_instable,conflit,sud_centre,1,Conflits et tensions,0.2823,9.884,-0.9955,negatif,negatif,1.0,0.0,0.0
1281699529,2025-12-31,202512,2025,19,4,-10.0,-9.768009768,UNKNOWN,MIL,BN,8,negatif,tres_instable,conflit,sud_centre,1,Conflits et tensions,0.5646,9.884,-0.9955,negatif,negatif,1.0,0.0,0.0
1281686235,2025-12-31,202512,2025,2,1,3.0,-1.020408163,SEN,UNKNOWN,BN,10,neutre,stable,cooperation,sud_centre,0,Evenements neutres,0.6161,-0.9898,0.0243,neutre,neutre,0.0,1.0,0.0
1281679676,2025-12-31,202512,2025,8,2,5.0,-7.817969662,BEN,UNKNOWN,BN,2,negatif,tres_stable,cooperation,sud_centre,0,Evenements neutres,0.2823,1.409,-0.7204,negatif,negatif,1.0,0.0,0.0
1281679678,2025-12-31,202512,2025,11,3,-2.0,-7.817969662,BEN,UNKNOWN,BN,2,negatif,instable,cooperation,sud_centre,1,Conflits et tensions,0.2823,4.909,-0.8194,negatif,negatif,1.0,0.0,0.0
1281679680,2025-12-31,202512,2025,6,2,6.0,-7.817969662,BEN,GOV,BN,2,negatif,tres_stable,cooperation,sud_centre,0,Evenements neutres,0.2823,0.909,-0.7384,negatif,negatif,1.0,0.0,0.0
1281680224,2025-12-31,202512,2025,11,3,-2.0,-7.817969662,MDG,UNKNOWN,BN,1,negatif,instable,cooperation,sud_centre,1,Conflits et tensions,0.1781,4.909,-0.8189,negatif,negatif,1.0,0.0,0.0
1281667640,2025-12-31,202512,2025,7,2,7.4,-3.197057278,BEN,UNKNOWN,BN,20,negatif,tres_stable,cooperation,sud_centre,0,Evenements neutres,0.7823,-2.1015,-0.357,negatif,negatif,0.99,0.01,0.0
1281696726,2025-12-31,202512,2025,7,2,7.4,-2.564102564,BEN,UNKNOWN,BN,2,negatif,tres_stable,cooperation,sud_centre,0,Evenements neutres,0.2823,-2.4179,-0.2371,negatif,negatif,1.0,0.0,0.0
1281679679,2025-12-31,202512,2025,11,3,-2.0,-7.817969662,BEN,UNKNOWN,BN,2,negatif,instable,cooperation,sud_centre,1,Conflits et tensions,0.2823,4.909,-0.9349,negatif,negatif,1.0,0.0,0.0
1299592500,2025-04-16,202504,2025,10,3,-5.0,-12.5,BEN,UNKNOWN,BN,6,negatif,tres_instable,cooperation,sud_centre,1,Conflits et tensions,0.5,8.75,-1.0,negatif,negatif,1.0,0.0,0.0
