GLOBALEVENTID,SQLDATE,MONTHYEAR,YEAR,Actor1CountryCode,Actor2CountryCode,EventRootCode,EventBaseCode,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,ActionGeo_CountryCode,ActionGeo_Lat,ActionGeo_Long,SOURCEURL
1281869039,20251203,202512,2025,BWA,BWA,01,010,0.0,10,1,10,0.0,BC,-22.0,24.0,https://www.timeslive.co.za/news/africa/2026-01-02-botswana-to-keep-annual-currency-depreciation-rate-at-276/
1299831724,20250418,202504,2025,CHN,,04,043,2.8,1,1,1,7.08446866485013,BC,-24.6611,25.9317,http://en.people.cn/n3/2026/0418/c90000-20447948.html
1299831714,20250418,202504,2025,,CHN,04,042,1.9,1,1,1,7.08446866485013,BC,-24.6611,25.9317,http://en.people.cn/n3/2026/0418/c90000-20447948.html
1282662653,20250107,202501,2025,BWA,,04,043,2.8,10,1,10,1.46804835924007,BC,-22.3276,27.4936,https://www.manilatimes.net/2026/01/07/tmt-newswire/globenewswire/leviathan-metals-corp-announces-strategic-advances-and-outlook-for-2026/2254608
1298821346,20250412,202504,2025,GBR,,08,083,5.0,2,1,2,-4.83193277310925,BC,-22.0,24.0,https://www.arkansasonline.com/news/2026/apr/12/prince-harry-faces-defamation-lawsuit/
1298846719,20250412,202504,2025,,,01,016,-2.0,4,1,4,-4.25531914893617,BC,-22.0,24.0,https://goss.ie/royals/prince-harry-to-face-defamation-lawsuit-from-charity-founded-in-memory-of-mother-diana-461477
1301590767,20250429,202504,2025,NGA,NAM,03,031,5.2,4,1,4,0.4750593824228,BC,-22.0,24.0,https://allafrica.com/stories/202604290387.html
1281697438,20251231,202512,2025,AFR,,17,173,-5.0,10,1,10,0.61919504643963,BC,-22.0,24.0,https://www.siasat.com/cheetah-project-logs-12-cub-births-in-2025-indias-count-now-30-3319303/
1281709994,20251231,202512,2025,BWA,,01,010,0.0,30,1,30,7.57048092868988,BC,-22.0,24.0,https://tradearabia.com:443/News/331900/India%E2%80%99s-KP-Group-plans-$4bn-investment-in-Botswana%E2%80%99s-renewable-energy-sector/CONS
1281709997,20251231,202512,2025,BWA,,07,070,7.0,30,1,30,7.57048092868988,BC,-22.0,24.0,https://tradearabia.com:443/News/331900/India%E2%80%99s-KP-Group-plans-$4bn-investment-in-Botswana%E2%80%99s-renewable-energy-sector/CONS
1281731137,20251231,202512,2025,NAM,,01,010,0.0,4,1,4,0.21786492374728,BC,-22.0,24.0,https://www.thehindu.com/sci-tech/energy-and-environment/12-cheetah-cubs-born-in-mps-kuno-park-in-2025-three-of-them-died-total-animal-count-at-30/article70458326.ece
