GLOBALEVENTID,SQLDATE,MONTHYEAR,YEAR,Actor1CountryCode,Actor2CountryCode,Actor1Geo_CountryCode,Actor2Geo_CountryCode,EventRootCode,EventBaseCode,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,ActionGeo_CountryCode,ActionGeo_FullName,ActionGeo_Lat,ActionGeo_Long,SOURCEURL
1283198067,20250110,202501,2025,,BEN,NG,BN,19,190,-10.0,10,1,10,-3.62204724409449,BN,Benin,9.5,2.25,https://www.abc.com.py/internacionales/2026/01/10/benin-celebrara-elecciones-legislativas-y-municipales-entre-tension-politica-y-seguridad/
1281664740,20251231,202512,2025,BEN,,BN,,04,043,2.8,10,1,10,-1.09589041095891,BN,Benin,9.5,2.25,https://www.rewmi.com/koulibaly-la-rdc-va-faire-des-ravages-jen-suis-convaincu/
1281664663,20251231,202512,2025,,BEN,,BN,04,042,1.9,10,1,10,-1.09589041095891,BN,Benin,9.5,2.25,https://www.rewmi.com/koulibaly-la-rdc-va-faire-des-ravages-jen-suis-convaincu/
1281698938,20251231,202512,2025,BEN,BEN,BN,BN,19,190,-10.0,2,1,2,-9.76800976800972,BN,Benin,9.5,2.25,https://www.firstpost.com/world/2025-year-ender-how-coups-conflicts-and-fragile-truces-disrupted-the-global-order-in-2025-ws-e-13937702.html
1281698939,20251231,202512,2025,BEN,,BN,BN,19,190,-10.0,8,1,8,-9.76800976800972,BN,Benin,9.5,2.25,https://www.firstpost.com/world/2025-year-ender-how-coups-conflicts-and-fragile-truces-disrupted-the-global-order-in-2025-ws-e-13937702.html
1281698940,20251231,202512,2025,BEN,BEN,BN,BN,19,190,-10.0,2,1,2,-9.76800976800972,BN,Benin,9.5,2.25,https://www.firstpost.com/world/2025-year-ender-how-coups-conflicts-and-fragile-truces-disrupted-the-global-order-in-2025-ws-e-13937702.html
1281699529,20251231,202512,2025,,BEN,BN,BN,19,190,-10.0,8,1,8,-9.76800976800972,BN,Benin,9.5,2.25,https://www.firstpost.com/world/2025-year-ender-how-coups-conflicts-and-fragile-truces-disrupted-the-global-order-in-2025-ws-e-13937702.html
1281686235,20251231,202512,2025,SEN,BEN,BN,BN,02,020,3.0,10,1,10,-1.0204081632653,BN,Benin,9.5,2.25,https://fr.allafrica.com/view/group/main/main/id/00095248.html
1281679676,20251231,202512,2025,BEN,TGO,BN,BN,08,080,5.0,2,1,2,-7.81796966161027,BN,Benin,9.5,2.25,https://www.aa.com.tr/en/africa/year-ender-africa-in-2025-2-military-coups-and-1-failed-attempt/3786062
1281679678,20251231,202512,2025,BEN,TGO,BN,BN,11,110,-2.0,2,1,2,-7.81796966161027,BN,Benin,9.5,2.25,https://www.aa.com.tr/en/africa/year-ender-africa-in-2025-2-military-coups-and-1-failed-attempt/3786062
1281679680,20251231,202512,2025,BEN,,BN,BN,06,060,6.0,2,1,2,-7.81796966161027,BN,Benin,9.5,2.25,https://www.aa.com.tr/en/africa/year-ender-africa-in-2025-2-military-coups-and-1-failed-attempt/3786062
1281680224,20251231,202512,2025,MDG,BEN,BN,BN,11,110,-2.0,1,1,1,-7.81796966161027,BN,Benin,9.5,2.25,https://www.aa.com.tr/en/africa/year-ender-africa-in-2025-2-military-coups-and-1-failed-attempt/3786062
1281667640,20251231,202512,2025,BEN,WAF,BN,BN,07,071,7.4,20,2,20,-3.19705727798214,BN,Benin,9.5,2.25,https://www.leral.net/560-MILLIARDS-MOBILISES-SUR-LE-MARCHE-Succes-technique-contrainte-structurelle_a393187.html
1281696726,20251231,202512,2025,BEN,WAF,SG,BN,07,071,7.4,2,1,2,-2.56410256410257,BN,Benin,9.5,2.25,https://fr.allafrica.com/stories/202512310244.html
1281679679,20251231,202512,2025,BEN,TGO,BN,TO,11,110,-2.0,2,1,2,-7.81796966161027,BN,Benin,9.5,2.25,https://www.aa.com.tr/en/africa/year-ender-africa-in-2025-2-military-coups-and-1-failed-attempt/3786062
1292755543,20250306,202503,2025,,BEN,,BN,06,060,6.0,10,1,10,-8.67768595041322,BN,Benin,9.5,2.25,https://www.diariosigloxxi.com/texto-ep/mostrar/20260306085421/mueren-15-militares-ataque-ejecutado-supuestos-yihadistas-contra-puesto-norte-benin
1292755544,20250306,202503,2025,,BEN,,BN,18,186,-10.0,10,1,10,-8.67768595041322,BN,Benin,9.5,2.25,https://www.diariosigloxxi.com/texto-ep/mostrar/20260306085421/mueren-15-militares-ataque-ejecutado-supuestos-yihadistas-contra-puesto-norte-benin
1299592500,20250416,202504,2025,BEN,,BN,BN,10,100,-5.0,6,1,6,-12.5,BN,Benin,9.5,2.25,https://article.wn.com/view/2026/04/16/Benin_activist_wanted_for_inciting_rebellion_arrested_in_S_A/
1299592501,20250416,202504,2025,BEN,RUS,BN,RS,10,100,-5.0,4,1,4,-12.5,BN,Benin,9.5,2.25,https://article.wn.com/view/2026/04/16/Benin_activist_wanted_for_inciting_rebellion_arrested_in_S_A/
1296348347,20250327,202503,2025,BEN,,BN,BN,19,190,-10.0,3,1,3,-0.94637223974763,BN,"Banikoara, Alibori, Benin",11.2984,2.43856,https://www.swissinfo.ch/eng/war-peace/women-harvest-hope-as-extremist-threat-grows-in-benin/91162140
1282892998,20250108,202501,2025,NGA,BEN,NI,BN,04,043,2.8,1,1,1,0.5050505050505,BN,Benin,9.5,2.25,https://thewhistler.ng/fg-secures-release-of-nigerian-pastor-serving-10-year-sentence-in-benin-republic/
1282904288,20250108,202501,2025,BEN,,BN,BN,04,043,2.8,6,1,6,4.11899313501144,BN,Benin,9.5,2.25,https://www.thisdaylive.com/2026/01/08/nigeria-secures-pastor-egbajis-release-from-benin-republic/
1282904297,20250108,202501,2025,,BEN,BN,BN,02,020,3.0,6,1,6,4.11899313501144,BN,Benin,9.5,2.25,https://www.thisdaylive.com/2026/01/08/nigeria-secures-pastor-egbajis-release-from-benin-republic/
1282904298,20250108,202501,2025,,BEN,BN,BN,04,042,1.9,6,1,6,4.11899313501144,BN,Benin,9.5,2.25,https://www.thisdaylive.com/2026/01/08/nigeria-secures-pastor-egbajis-release-from-benin-republic/
1282892989,20250108,202501,2025,BEN,NGA,BN,NI,04,042,1.9,1,1,1,0.5050505050505,BN,Benin,9.5,2.25,https://thewhistler.ng/fg-secures-release-of-nigerian-pastor-serving-10-year-sentence-in-benin-republic/
1282892990,20250108,202501,2025,BEN,NGA,BN,NI,17,173,-5.0,2,1,2,0.5050505050505,BN,Benin,9.5,2.25,https://thewhistler.ng/fg-secures-release-of-nigerian-pastor-serving-10-year-sentence-in-benin-republic/
1218455632,20250101,202501,2025,BEN,,BN,,05,051,3.4,5,1,5,-7.54716981132076,BN,Benin,9.5,2.25,https://dailypost.ng/2025/01/01/terrorism-allegations-benin-summons-nigers-envoy/
1218457982,20250101,202501,2025,BEN,,BN,,01,010,0.0,10,1,5,-8.48287112561177,BN,Benin,9.5,2.25,https://punchng.com/benin-republic-summons-niger-diplomat-over-terrorism-allegations/
1218482561,20250102,202501,2025,BEN,,BN,,05,051,3.4,10,1,10,-8.51735015772872,BN,Benin,9.5,2.25,https://punchng.com/benin-republic-summons-niger-diplomat-over-terrorism-allegations-2/
1218482566,20250102,202501,2025,BEN,,BN,,01,010,0.0,5,1,5,-8.51735015772872,BN,Benin,9.5,2.25,https://punchng.com/benin-republic-summons-niger-diplomat-over-terrorism-allegations-2/
1218466358,20250101,202501,2025,BEN,,BN,,03,030,4.0,4,1,4,-7.90123456790123,BN,Benin,9.5,2.25,https://saharareporters.com/2025/01/01/benin-summons-niger-republic-envoy-over-terrorism-claims
1218466360,20250101,202501,2025,BEN,,BN,,11,114,-2.0,10,1,10,-7.90123456790123,BN,Benin,9.5,2.25,https://saharareporters.com/2025/01/01/benin-summons-niger-republic-envoy-over-terrorism-claims
1218466361,20250101,202501,2025,BEN,,BN,,14,141,-6.5,10,1,10,-7.90123456790123,BN,Benin,9.5,2.25,https://saharareporters.com/2025/01/01/benin-summons-niger-republic-envoy-over-terrorism-claims
1218465489,20250101,202501,2025,BEN,,BN,,10,105,-5.0,1,1,1,3.21637426900585,BN,Benin,9.5,2.25,https://dailypost.ng/2025/01/01/kebbi-state-secures-release-of-12-indigenes-detained-in-benin-republic/
1218465493,20250101,202501,2025,BEN,,BN,,05,051,3.4,1,1,1,3.21637426900585,BN,Benin,9.5,2.25,https://dailypost.ng/2025/01/01/kebbi-state-secures-release-of-12-indigenes-detained-in-benin-republic/
1218457897,20250101,202501,2025,,BEN,,BN,01,010,0.0,9,1,5,-8.48287112561177,BN,Benin,9.5,2.25,https://punchng.com/benin-republic-summons-niger-diplomat-over-terrorism-allegations/
1218457899,20250101,202501,2025,,BEN,,BN,14,141,-6.5,9,1,5,-8.48287112561177,BN,Benin,9.5,2.25,https://punchng.com/benin-republic-summons-niger-diplomat-over-terrorism-allegations/
1218482444,20250102,202501,2025,,BEN,,BN,01,010,0.0,5,1,5,-8.51735015772872,BN,Benin,9.5,2.25,https://punchng.com/benin-republic-summons-niger-diplomat-over-terrorism-allegations-2/
